"CARRIER";"FCST_STOR_LIFT_NOM_SCHED";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"FIN_CARGO_DOC_TRANS";"CARRIER";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"FIN_CARGO_TRANS_SIMPLE";"CARRIER";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"FIN_PERIOD_DOC_TRANS";"CARRIER";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"FIN_PERIOD_TRANS_SIMPLE";"CARRIER";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"FT_ST_TRANSACTION";"CARRIER";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"REP_CARGO_TRANSPORT";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"SCTR_DAY_LIFTING";"CARRIER";"EC_SALE";"N";"";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"STORAGE_LIFT_NOMINATION";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"STORAGE_LIFT_NOM_LA";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"STORAGE_LIFT_NOM_OVERV";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"STORAGE_LIFT_NOM_SCHED";"CARRIER";"EC_TRAN";"N";"N";"";"1:1";"COLUMN";"CARRIER_ID";
"CARRIER";"TERM_OPERATION_NAV_CNTR";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"TERM_OPERATION_NAVIGATOR";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"TERM_OP_NAVIGATOR_ULD";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CARRIER";"TERM_OP_NAV_ULD_CNTR";"CARRIER";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"CARRIER_ID";
"CHEM_PRODUCT";"CHEM_INJ_POINT";"CHEM_PRODUCT";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"CHEM_PRODUCT_ID";
"CHEM_PRODUCT";"CHEM_TANK_STATUS";"CHEM_PRODUCT";"EC_PROD";"N";"N";"";"1:1";"FUNCTION";"ecdp_chemical_tank.GETPRODUCTID(CHEM_TANK_STATUS.OBJECT_ID, CHEM_TANK_STATUS.DAYTIME)";
"CHOKE";"FLOWLINE";"CHOKE";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"CHOKE_ID";
"CHOKE";"WELL";"CHOKE";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"CHOKE_ID";
"CHOKE";"WELL";"GI_CHOKE";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"GI_CHOKE_ID";
"CHOKE";"WELL";"GL_CHOKE";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"GL_CHOKE_ID";
"CHOKE";"WELL";"WI_CHOKE";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"WI_CHOKE_ID";
"CHOKE_MODEL";"CHOKE_MODEL";"PARENT_CHOKE_MODEL";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"PARENT_CHOKE_MODEL_ID";
"COLLECTION_POINT";"CHEM_INJ_POINT";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COLLECTION_POINT";"CHEM_TANK";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
